facility_id,country,region,facility_name,operator,train,status,nameplate_mtpa,effective_mtpa,fid_date,start_date,ramp_up,feedgas,offtake_summary,source,last_updated,notes
US-SABINEPASS-T1,USA,North America,Sabine Pass,Cheniere Energy,T1,operational,4.5,5.0,2010-08-01,2016-02-24,immediate,US shale (Haynesville/Permian),BG/Shell/CFE/GAIL/GNF/KOGAS portfolio,Cheniere 10-K + GIIGNL 2024,2026-06-01,Debottlenecked above nameplate
US-SABINEPASS-T2,USA,North America,Sabine Pass,Cheniere Energy,T2,operational,4.5,5.0,2010-08-01,2016-09-15,immediate,US shale,Portfolio (long-term SPAs),Cheniere 10-K,2026-06-01,
US-SABINEPASS-T3,USA,North America,Sabine Pass,Cheniere Energy,T3,operational,4.5,5.0,2010-08-01,2017-03-28,immediate,US shale,Portfolio,Cheniere 10-K,2026-06-01,
US-SABINEPASS-T4,USA,North America,Sabine Pass,Cheniere Energy,T4,operational,4.5,5.0,2010-08-01,2017-10-15,immediate,US shale,Portfolio,Cheniere 10-K,2026-06-01,
US-SABINEPASS-T5,USA,North America,Sabine Pass,Cheniere Energy,T5,operational,4.5,5.0,2014-06-30,2019-03-27,immediate,US shale,Portfolio,Cheniere 10-K,2026-06-01,
US-SABINEPASS-T6,USA,North America,Sabine Pass,Cheniere Energy,T6,operational,4.5,5.0,2019-06-01,2022-02-08,immediate,US shale,Portfolio,Cheniere 10-K,2026-06-01,
US-CORPUSCHRISTI-T1,USA,North America,Corpus Christi,Cheniere Energy,T1,operational,4.5,5.0,2015-05-13,2019-05-22,immediate,US shale,Portfolio,Cheniere 10-K,2026-06-01,
US-CORPUSCHRISTI-T2,USA,North America,Corpus Christi,Cheniere Energy,T2,operational,4.5,5.0,2015-05-13,2019-09-30,immediate,US shale,Portfolio,Cheniere 10-K,2026-06-01,
US-CORPUSCHRISTI-T3,USA,North America,Corpus Christi,Cheniere Energy,T3,operational,4.5,5.0,2018-05-09,2021-03-26,immediate,US shale,Portfolio,Cheniere 10-K,2026-06-01,
US-CORPUSCHRISTI-CC3,USA,North America,Corpus Christi Stage 3,Cheniere Energy,Midscale T1-T7,commissioning,10.4,10.0,2022-06-22,2024-12-30,Y1:60%;Y2:90%;Y3:100%,US shale,Portfolio + JERA Equinor TotalEnergies,Cheniere press release Dec 2024,2026-06-01,7 midscale trains 1.49 MTPA each
US-CAMERON-T1,USA,North America,Cameron LNG,Sempra Infrastructure,T1,operational,4.0,4.5,2014-08-12,2019-05-15,immediate,US Gulf,Mitsubishi/Mitsui/TotalEnergies/Sempra,Sempra 10-K,2026-06-01,
US-CAMERON-T2,USA,North America,Cameron LNG,Sempra Infrastructure,T2,operational,4.0,4.5,2014-08-12,2020-02-14,immediate,US Gulf,Same,Sempra 10-K,2026-06-01,
