facility_id,country,region,facility_name,operator,terminal_type,status,sendout_bcm_y,sendout_mtpa,storage_m3,start_date,reload_capable,source,last_updated,notes
JP-FUTTSU,Japan,East Asia,Futtsu,TEPCO/Chubu,onshore,operational,30.0,22.0,1110000,1985-04-01,yes,Japan METI,2026-06-01,Largest single LNG terminal globally
JP-OHGISHIMA,Japan,East Asia,Ohgishima,TEPCO,onshore,operational,12.5,9.2,540000,1998-04-01,yes,METI,2026-06-01,
JP-HIGASHIOHGISHIMA,Japan,East Asia,Higashi-Ohgishima,TEPCO,onshore,operational,12.5,9.2,540000,1984-08-01,yes,METI,2026-06-01,
JP-NEGISHI,Japan,East Asia,Negishi,Tokyo Gas/TEPCO,onshore,operational,10.0,7.4,2370000,1969-10-01,yes,Tokyo Gas,2026-06-01,Oldest commercial LNG terminal in Japan
JP-SODEGAURA,Japan,East Asia,Sodegaura,Tokyo Gas,onshore,operational,17.6,13.0,2660000,1973-09-01,yes,Tokyo Gas,2026-06-01,
JP-SENBOKU2,Japan,East Asia,Senboku II,Osaka Gas,onshore,operational,10.0,7.4,1820000,1972-04-01,yes,Osaka Gas,2026-06-01,
JP-CHITA,Japan,East Asia,Chita Joint Works,Toho Gas/Chubu Electric,onshore,operational,9.5,7.0,1620000,1977-12-01,yes,Toho Gas,2026-06-01,Multi-operator complex
JP-YOKKAICHI,Japan,East Asia,Yokkaichi,Chubu Electric,onshore,operational,10.0,7.4,640000,1988-02-01,yes,Chubu,2026-06-01,
KR-INCHEON,South Korea,East Asia,Incheon,KOGAS,onshore,operational,36.0,26.5,3360000,1996-10-01,yes,KOGAS,2026-06-01,
KR-PYEONGTAEK,South Korea,East Asia,Pyeongtaek,KOGAS,onshore,operational,42.0,30.9,3360000,1986-11-01,yes,KOGAS,2026-06-01,KOGAS' largest
KR-TONGYEONG,South Korea,East Asia,Tongyeong,KOGAS,onshore,operational,29.8,21.9,2160000,2002-06-01,yes,KOGAS,2026-06-01,
KR-SAMCHEOK,South Korea,East Asia,Samcheok,KOGAS,onshore,operational,18.0,13.2,1660000,2014-07-01,yes,KOGAS,2026-06-01,
KR-BORYEONG,South Korea,East Asia,Boryeong,SK E&S/GS Energy,onshore,operational,4.8,3.5,400000,2017-01-01,yes,SK E&S,2026-06-01,Private; supplies SK power plants
KR-GWANGYANG,South Korea,East Asia,Gwangyang,POSCO,onshore,operational,5.4,4.0,530000,2005-10-01,no,POSCO,2026-06-01,
CN-TIANJIN,China,East Asia,Tianjin Nangang,Sinopec,onshore,operational,12.0,8.8,640000,2013-11-15,yes,Sinopec,2026-06-01,Strategic location for north China
CN-YANGSHAN,China,East Asia,Yangshan Shanghai,CNOOC/Shenergy,onshore,operational,9.0,6.6,495000,2009-10-01,yes,CNOOC,2026-06-01,
CN-CAOFEIDIAN,China,East Asia,Caofeidian,PetroChina,onshore,operational,10.0,7.4,720000,2013-11-23,yes,PetroChina,2026-06-01,
CN-DAPENG,China,East Asia,Dapeng (Shenzhen),CNOOC,onshore,operational,9.4,6.9,640000,2006-06-26,yes,CNOOC,2026-06-01,First mainland China LNG terminal
CN-TANGSHAN,China,East Asia,Tangshan,PetroChina,onshore,operational,10.0,7.4,800000,2014-11-04,yes,PetroChina,2026-06-01,
CN-QINGDAO,China,East Asia,Qingdao,Sinopec,onshore,operational,6.0,4.4,640000,2014-11-15,yes,Sinopec,2026-06-01,
CN-PUTIAN,China,East Asia,Putian (Fujian),CNOOC,onshore,operational,7.2,5.3,640000,2008-05-01,yes,CNOOC,2026-06-01,
CN-WENZHOU,China,East Asia,Wenzhou,CNOOC,onshore,construction,8.5,6.3,800000,2026-09-30,yes,CNOOC,2026-06-01,Phase 1 expected late 2026
IN-DAHEJ,India,South Asia,Dahej,Petronet LNG,onshore,operational,23.8,17.5,648000,2004-04-01,yes,Petronet,2026-06-01,India's largest regas
IN-HAZIRA,India,South Asia,Hazira,Shell/TotalEnergies,onshore,operational,6.8,5.0,320000,2005-04-01,no,Shell,2026-06-01,
IN-KOCHI,India,South Asia,Kochi,Petronet LNG,onshore,operational,6.8,5.0,320000,2013-08-01,no,Petronet,2026-06-01,Underutilized; pipeline-constrained
IN-MUNDRA,India,South Asia,Mundra,Adani/IOCL,onshore,operational,6.8,5.0,320000,2020-04-01,no,Adani,2026-06-01,
IN-ENNORE,India,South Asia,Ennore,IOCL/TIDCO,onshore,operational,6.8,5.0,360000,2019-03-01,no,IOCL,2026-06-01,Tamil Nadu
IN-DHAMRA,India,South Asia,Dhamra,Adani/TotalEnergies,onshore,operational,6.8,5.0,360000,2024-04-01,no,Adani,2026-06-01,Odisha; commissioned Apr 2024
GB-ISLEOFGRAIN,United Kingdom,Europe,Isle of Grain,National Grid Grain LNG,onshore,operational,19.5,14.3,1000000,2005-07-01,yes,National Grid,2026-06-01,UK's largest
GB-SOUTHHOOK,United Kingdom,Europe,South Hook,QatarEnergy/ExxonMobil/TotalEnergies,onshore,operational,15.6,11.5,775000,2009-03-01,yes,South Hook LNG,2026-06-01,Milford Haven
GB-DRAGON,United Kingdom,Europe,Dragon LNG,Shell/Ancala,onshore,operational,8.4,6.2,320000,2009-08-01,yes,Dragon LNG,2026-06-01,Milford Haven
ES-BARCELONA,Spain,Europe,Barcelona,Enagás,onshore,operational,17.1,12.6,840000,1969-03-01,yes,Enagás,2026-06-01,Europe's oldest
ES-CARTAGENA,Spain,Europe,Cartagena,Enagás,onshore,operational,11.8,8.7,587000,1989-01-01,yes,Enagás,2026-06-01,
